college,state,cds_link1,cds_link2,cds_link3,cds_link4,cds_link5
Arizona Christian University,Arizona,N/A,,,,
Arizona College of Nursing,Arizona,N/A,,,,
Arizona State University,Arizona,https://uoia.asu.edu/common-data-set,,,,
Arizona Western College,Arizona,N/A,,,,
Benedictine University at Mesa,Arizona,https://ben.edu/institutional-research/,,,,
Brookline College,Arizona,N/A,,,,
Bryan University,Arizona,N/A,,,,
Carrington College,Arizona,N/A,,,,
Central Arizona College,Arizona,N/A,,,,
Chamberlain College of Nursing,Arizona,N/A,,,,
Chandler-Gilbert Community College,Arizona,N/A,,,,
Cochise College,Arizona,N/A,,,,
Coconino Community College,Arizona,N/A,,,,
Cummings Graduate Institute for Behavioral Health Studies,Arizona,N/A,,,,
DeVry University,Arizona,N/A,,,,
Diné College,Arizona,N/A,,,,
Eastern Arizona College,Arizona,N/A,,,,
Embry-Riddle Aeronautical University,Arizona,https://erau.edu/institutional-research/data-portal/rankings-external-reporting/common-data-set,,,,
Estrella Mountain Community College,Arizona,N/A,,,,
Fuller Theological Seminary,Arizona,N/A,,,,
GateWay Community College,Arizona,N/A,,,,
Glendale Community College,Arizona,N/A,,,,
Grand Canyon University,Arizona,N/A,,,,
Mesa Community College,Arizona,N/A,,,,
Midwestern University,Arizona,N/A,,,,
Mohave Community College,Arizona,N/A,,,,
Northern Arizona University,Arizona,https://in.nau.edu/institutional-research/common-data-set/,,,,
Northland Pioneer College,Arizona,N/A,,,,
Ottawa University,Arizona,N/A,,,,
Paradise Valley Community College,Arizona,N/A,,,,
Park University,Arizona,N/A,,,,
Phoenix College,Arizona,N/A,,,,
Phoenix Seminary,Arizona,N/A,,,,
Pima Community College,Arizona,N/A,,,,
Prescott College,Arizona,N/A,,,,
Rio Salado Community College,Arizona,N/A,,,,
Scottsdale Community College,Arizona,N/A,,,,
Sessions College for Professional Design,Arizona,N/A,,,,
South Mountain Community College,Arizona,N/A,,,,
Southwest College of Naturopathic Medicine,Arizona,N/A,,,,
The School of Architecture,Arizona,N/A,,,,
Tohono O'odham Community College,Arizona,N/A,,,,
Universal Technical Institute,Arizona,N/A,,,,
University of Advancing Technology,Arizona,N/A,,,,
University of Arizona,Arizona,https://uair.arizona.edu/CommonDataSet,,,,
University of Phoenix,Arizona,N/A,,,,
Yavapai College,Arizona,N/A,,,,
Arkansas Baptist College,Arkansas,N/A,,,,
Arkansas Northeastern College,Arkansas,N/A,,,,
Arkansas State University,Arkansas,https://www.astate.edu/a/irp/,,,,
Arkansas State University Beebe,Arkansas,N/A,,,,
Arkansas State University Mid-South,Arkansas,N/A,,,,
Arkansas State University Mountain Home,Arkansas,N/A,,,,
Arkansas State University Newport,Arkansas,N/A,,,,
Arkansas State University Three Rivers,Arkansas,N/A,,,,
Arkansas Tech University,Arkansas,https://www.atu.edu/ir/index.php,,,,
Black River Technical College,Arkansas,N/A,,,,
Blue Cliff College,Arkansas,N/A,,,,
Central Baptist College,Arkansas,N/A,,,,
Cossatot Community College,Arkansas,N/A,,,,
Crowley's Ridge College,Arkansas,N/A,,,,
East Arkansas Community College,Arkansas,N/A,,,,
Ecclesia College,Arkansas,N/A,,,,
Harding University,Arkansas,N/A,,,,
Henderson State University,Arkansas,N/A,,,,
Hendrix College,Arkansas,N/A,,,,
John Brown University,Arkansas,N/A,,,,
Lyon College,Arkansas,N/A,,,,
National Park College,Arkansas,N/A,,,,
North Arkansas College,Arkansas,N/A,,,,
Northwest Arkansas Community College,Arkansas,N/A,,,,
Ouachita Baptist University,Arkansas,N/A,,,,
Ozarka College ,Arkansas,N/A,,,,
Philander Smith University ,Arkansas,N/A,,,,
Phillips Community College of the University of Arkansas,Arkansas,N/A,,,,
Shorter College,Arkansas,N/A,,,,
South Arkansas Community College,Arkansas,N/A,,,,
Southeast Arkansas College,Arkansas,https://www.seark.edu/common-data-set,,,,
Southern Arkansas University,Arkansas,N/A,,,,
Southern Arkansas University Tech,Arkansas,N/A,,,,
University of Arkansas,Arkansas,https://osai.uark.edu/datasets/cds/index.php,,,,
University of Arkansas at Little Rock,Arkansas,https://ualr.edu/institutionalresearch/common-data-set/,,,,
University of Arkansas at Monticello,Arkansas,N/A,,,,
University of Arkansas at Pine Bluff,Arkansas,N/A,,,,
University of Arkansas Community College at Batesville,Arkansas,N/A,,,,
University of Arkansas Community College at Hope,Arkansas,N/A,,,,
University of Arkansas Community College at Morrilton,Arkansas,N/A,,,,
University of Arkansas for Medical Sciences,Arkansas,N/A,,,,
University of Arkansas Fort Smith,Arkansas,N/A,,,,
University of Arkansas Grantham,Arkansas,N/A,,,,
University of Arkansas Pulaski Technical College,Arkansas,N/A,,,,
University of Arkansas Rich Mountain,Arkansas,N/A,,,,
University of Central Arkansas,Arkansas,N/A,,,,
University of the Ozarks,Arkansas,https://ozarks.edu/about/reporting/,,,,
Williams Baptist University,Arkansas,N/A,,,,
Academy of Art University,California,N/A,,,,
Allan Hancock College,California,N/A,,,,
Alliant International University,California,N/A,,,,
American Heritage University of Southern California,California,N/A,,,,
American Jewish University,California,N/A,,,,
American Management University,California,N/A,,,,
American River College,California,N/A,,,,
Anaheim University,California,N/A,,,,
Antelope Valley College,California,N/A,,,,
Antioch University,California,N/A,,,,
ArtCenter College of Design,California,https://www.artcenter.edu/academics/academic-resources/academic-affairs.html,https://cms.artcenter.edu/assets/21357/src/ArtCenter-CDS_2022-2023_Final.pdf,https://cms.artcenter.edu/assets/20086/src/CDS_2021-2022_Final_Web.pdf,https://cms.artcenter.edu/assets/18120/src/CDS_2020-2021_Final.pdf,
Azusa Pacific University,California,https://www.apu.edu/oir/commondata/,,,,
Bakersfield College,California,N/A,,,,
Barstow Community College,California,N/A,,,,
Berean Bible College,California,N/A,,,,
Berkeley City College,California,N/A,,,,
Biola University,California,https://www.biola.edu/university-analytics/reports,,,,
Butte College,California,N/A,,,,
Cabrillo College,California,N/A,,,,
Calbright College,California,N/A,,,,
California Baptist University,California,https://calbaptist.edu/about/leadership/provost/educational-effectiveness/institutional-research/data,,,,
California Coast University,California,N/A,,,,
California College of the Arts,California,N/A,,,,
California Health Sciences University,California,N/A,,,,
California Institute of Integral Studies,California,N/A,,,,
California Institute of Technology,California,https://finance.caltech.edu/Resources/cds,,,,
California Institute of the Arts,California,N/A,,,,
California Lutheran University,California,https://www.callutheran.edu/about/factbook/common-data-set.html,,,,
California Metropolitan University ,California,N/A,,,,
California Miramar University,California,N/A,,,,
California Polytechnic State University San Luis Obispo,California,https://ir.calpoly.edu/content/publications_reports/cds/index,,,,
California South Bay University,California,N/A,,,,
California Southern University,California,N/A,,,,
California State Polytechnic University Humboldt ,California,https://irar.humboldt.edu/cds,,,,
California State Polytechnic University Pomona,California,https://www.cpp.edu/data/documents/cpp-facts/cds2023.pdf,https://www.cpp.edu/data/documents/cpp-facts/cds2022.pdf,,,
California State University Bakersfield,California,https://www.csub.edu/irpa/reports.shtml,,,,
California State University Channel Islands ,California,N/A,,,,
California State University Chico,California,https://www.csuchico.edu/ir/additional-data/common-data-set.shtml,,,,
California State University Dominguez Hills,California,https://www.csudh.edu/uepa/student-data/,,,,
California State University East Bay,California,N/A,,,,
California State University Fresno,California,https://academics.fresnostate.edu/oie/data/common.html,,,,
California State University Fullerton,California,https://www.fullerton.edu/data/institutionalresearch/facts/index.php,,,,
California State University Long Beach,California,https://www.csulb.edu/institutional-research-analytics/common-data-set,,,,
California State University Los Angeles,California,https://www.calstatela.edu/InstitutionalEffectiveness/resources,,,,
California State University Maritime Academy ,California,https://www.csum.edu/ir/common-data-set.html,,,,
California State University Monterey Bay,California,https://csumb.edu/iar/common-data-set/,,,,
California State University Moss Landing Marine Laboratories ,California,N/A,,,,
California State University Northridge,California,https://www.csun.edu/institutional-research/common-data-set,,,,
California State University Sacremento,California,https://www.csus.edu/president/institutional-research-effectiveness-planning/data-center.html,,,,
California State University San Bernadino,California,https://www.csusb.edu/institutional-research/studies-reports,,,,
California State University San Marcos,California,https://www.csusm.edu/ipa/cds.html,,,,
California State University Stanislaus,California,https://www.csustan.edu/iea/common-data-set,,,,
California University of Management and Sciences,California,N/A,,,,
California University of Management and Technology,California,N/A,,,,
Cambridge College,California,N/A,,,,
Cañada College,California,N/A,,,,
Cerritos College,California,N/A,,,,
Cerro Coso Community College,California,N/A,,,,
Chabot College,California,N/A,,,,
Chaffey College ,California,N/A,,,,
Chapman University,California,https://www.chapman.edu/campus-services/institutional-research/reports-publications.aspx,,,,
Charles R. Drew University of Medicine and Science,California,N/A,,,,
Citrus College,California,N/A,,,,
City College of San Francisco,California,N/A,,,,
Claremont Graduate University,California,N/A,,,,
Claremont Lincoln University,California,N/A,,,,
Claremont McKenna College,California,https://www.cmc.edu/institutional-research/common-data-set,,,,
Clovis Community College,California,N/A,,,,
Coastline Community College,California,N/A,,,,
College of Alameda,California,N/A,,,,
College of Marin,California,N/A,,,,
College of San Mateo,California,N/A,,,,
College of the Canyons,California,N/A,,,,
College of the Desert,California,N/A,,,,
College of the Redwoods,California,N/A,,,,
College of the Sequoias,California,N/A,,,,
College of the Siskiyous,California,N/A,,,,
Columbia College,California,N/A,,,,
Compton College ,California,N/A,,,,
Concordia University Irvine,California,https://www.cui.edu/academicprograms/provost/office-of-business-intelligence/data-warehouse,,,,
Contra Costa College,California,N/A,,,,
Copper Mountain College,California,N/A,,,,
Cosumnes River College,California,N/A,,,,
Crafton Hills College,California,N/A,,,,
Cuesta College,California,N/A,,,,
Cuyamaca College,California,N/A,,,,
Cypress College,California,N/A,,,,
De Anza College,California,N/A,,,,
Deep Springs College,California,N/A,,,,
Defense Language Institute,California,N/A,,,,
Design Institute of San Diego ,California,N/A,,,,
DeVry University,California,N/A,,,,
Dharma Realm Buddhist University,California,N/A,,,,
Diablo Valley College,California,N/A,,,,
Dominican University of California,California,https://www.dominican.edu/about/student-success/university-facts,https://www.dominican.edu/sites/default/files/2020-07/2019-2020-common-data-set-7-2020.pdf,,,
East Los Angeles College,California,N/A,,,,
El Camino College,California,N/A,,,,
Emperor's College of Traditional Oriental Medicine,California,N/A,,,,
Epic Bible College,California,N/A,,,,
Evergreen Valley College,California,N/A,,,,
Fashion Institute of Design & Merchandising,California,N/A,,,,
Feather River College,California,N/A,,,,
Fielding Graduate University,California,N/A,,,,
Folsom Lake College,California,N/A,,,,
Foothill College,California,N/A,,,,
Frederick S. Pardee RAND Graduate School,California,N/A,,,,
Fresno City College,California,N/A,,,,
Fresno Pacific University,California,N/A,,,,
Fuller Theological Seminary,California,N/A,,,,
Fullerton College,California,N/A,,,,
Gateway Seminary ,California,N/A,,,,
Gavilan College,California,N/A,,,,
Glendale Community College,California,N/A,,,,
Golden Gate University,California,N/A,,,,
Golden West College,California,N/A,,,,
Graduate Theological Union,California,N/A,,,,
Grossmont College,California,N/A,,,,
Gurnick Academy,California,N/A,,,,
Hartnell College,California,N/A,,,,
Harvery Mudd College,California,https://www.hmc.edu/institutional-research/institutional-statistics/common-data-set/,,,,
Hope International University,California,N/A,,,,
Hult International Business School ,California,N/A,,,,
Humphreys University,California,N/A,,,,
Imago Dei College ,California,N/A,,,,
Imperial Valley College,California,N/A,,,,
Institute of Buddhist Studies,California,N/A,,,,
International Technological University,California,N/A,,,,
Irvine Valley College,California,N/A,,,,
Jessup University,California,N/A,,,,
John Paul the Great Catholic University,California,N/A,,,,
Keck Graduate Institute,California,N/A,,,,
La Sierra University,California,N/A,,,,
Laguna College of Art and Design,California,N/A,,,,
Lake Tahoe Community College ,California,N/A,,,,
Laney College,California,N/A,,,,
Las Positas College,California,N/A,,,,
Lassen College,California,N/A,,,,
Life Pacific University,California,N/A,,,,
Lincoln University,California,N/A,,,,
Loma Linda University,California,N/A,,,,
Long Beach City College,California,N/A,,,,
Los Angeles City College,California,N/A,,,,
Los Angeles College of Music,California,N/A,,,,
Los Angeles Harbor College,California,N/A,,,,
Los Angeles Mission College,California,N/A,,,,
Los Angeles Pierce College,California,N/A,,,,
Los Angeles Southwest College,California,N/A,,,,
Los Angeles Trade Technical College,California,N/A,,,,
Los Angeles Valley College ,California,N/A,,,,
Los Medanos College ,California,N/A,,,,
Loyola Marymount College,California,https://academics.lmu.edu/officeofinstitutionalresearch/officialstatisticsandotherreporting/commondatasetcds/,,,,
Madera Community College,California,N/A,,,,
Make School,California,Closed,,,,
Mendocino College ,California,N/A,,,,
Menlo College,California,N/A,,,,
Merced College,California,N/A,,,,
Merritt College,California,N/A,,,,
Middlebury Institute of International Studies at Monterey,California,https://www.middlebury.edu/assessment-institutional-research/institutional-data/historical-data#,,,,
Minerva University ,California,N/A,,,,
MiraCosta College,California,N/A,,,,
Mission College,California,N/A,,,,
Modesto Junior College,California,N/A,,,,
Monterey Peninsula College,California,N/A,,,,
Moorpark College,California,N/A,,,,
Moreno Valley College,California,N/A,,,,
Mount St. Mary's University,California,N/A,,,,
Mt. San Antonio College,California,N/A,,,,
Mt. San Jacinto College,California,N/A,,,,
Napa Valley College,California,N/A,,,,
National University,California,N/A,,,,
Naval Postgraduate School,California,N/A,,,,
New York Film Academy,California,N/A,,,,
NewSchool of Architecture and Design,California,N/A,,,,
Norco College,California,N/A,,,,
Northwestern Polytechnic University,California,N/A,,,,
Notre Dame de Namur University,California,https://www.ndnu.edu/documents/Common-Data-Set-1819.pdf,,,,
Oak Valley College,California,N/A,,,,
Occidental College,California,https://www.oxy.edu/offices-services/institutional-research/institutional-data/common-data-set,,,,
Ohlone College,California,N/A,,,,
Oikos University,California,N/A,,,,
Open Christian University,California,N/A,,,,
Orange Coast College,California,N/A,,,,
Otis College of Art and Design,California,https://www.otis.edu/about/otis-glance/accreditation-rankings/common-data-set.html,,,,
Oxnard College,California,N/A,,,,
Pacific Lutheran Theological Seminary,California,N/A,,,,
Pacific Oaks College,California,N/A,,,,
Pacific School of Religion,California,N/A,,,,
Pacific Union College,California,N/A,,,,
Pacifica Graduate Institute ,California,N/A,,,,
Palmer College of Chiropractic,California,N/A,,,,
Palo Alto University,California,N/A,,,,
Palo Verde College,California,N/A,,,,
Palomar College,California,N/A,,,,
Pasadena City College,California,N/A,,,,
Patten University,California,N/A,,,,
Pepperdine University,California,https://www.pepperdine.edu/oie/institutional-research/common-data-set.htm,,,,
Pitzer College,California,https://www.pitzer.edu/offices/institutional-research/common-data-sets,,,,
Point Loma Nazarene University ,California,https://www.pointloma.edu/offices/institutional-research,,,,
Pomona College,California,https://www.pomona.edu/administration/institutional-research/information-center/common-data-set,,,,
Porterville College,California,N/A,,,,
Providence Christian College,California,N/A,,,,
Reedley College ,California,N/A,,,,
Rio Hondo College,California,N/A,,,,
Riverside City College,California,N/A,,,,
Sacramento City College,California,N/A,,,,
Saddleback College,California,N/A,,,,
Saint Mary's College of California,California,https://www.stmarys-ca.edu/offices-services/academic-affairs/institutional-and-educational-effectiveness/institutional-2,,,,
Samuel Merritt University,California,N/A,,,,
San Bernardino Valley College,California,N/A,,,,
San Diego Christian College,California,N/A,,,,
San Diego City College,California,N/A,,,,
San Diego Mesa College ,California,N/A,,,,
San Diego Miramar College,California,N/A,,,,
San Diego State University,California,https://asir.sdsu.edu/common-data-set/,,,,
San Diego University for Integrative Studies,California,N/A,,,,
San Francisco Conservatory of Music,California,N/A,,,,
San Francisco Institute of Architecture,California,N/A,,,,
San Francisco State University,California,https://ir.sfsu.edu/applications-and-enrollment,,,,
San Joaquin College of Law,California,N/A,,,,
San Joaquin Delta College,California,N/A,,,,
San José City College,California,N/A,,,,
San Jose State University,California,https://www.sjsu.edu/irsa/common-data-set/index.php,,,,
Santa Ana College,California,N/A,,,,
Santa Barbara City College,California,N/A,,,,
Santa Clara University,California,https://www.scu.edu/institutional-research/data/common-data-set-cds/,,,,
Santa Monica College,California,N/A,,,,
Santa Rosa Junior College,California,N/A,,,,
Santiago Canyon College,California,N/A,,,,
Saybrook University,California,N/A,,,,
Scripps College,California,https://www.scrippscollege.edu/assessir/cds,,,,
Shasta College ,California,N/A,,,,
Sierra College,California,N/A,,,,
Simpson University,California,https://simpsonu.edu/institutional-research/,,,,
Skyline College,California,N/A,,,,
Soka University of America,California,https://www.soka.edu/about/institutional-research-assessment/common-data-set,,,,
Solano Community College,California,N/A,,,,
Sonoma State University,California,https://data.sonoma.edu/file/75,,,,
Southern California Institute of Architecture,California,N/A,,,,
Southern States University,California,N/A,,,,
Southwestern College,California,N/A,,,,
Southwestern Law School,California,N/A,,,,
St. Photios Orthodox Theological Seminary,California,N/A,,,,
Stanford University,California,https://ucomm.stanford.edu/cds/,,,,
Starr King School for Ministry,California,N/A,,,,
Taft College,California,N/A,,,,
The Culinary Institute of America at Greystone,California,N/A,,,,
The Master's University,California,https://www.masters.edu/about/educational-quality/,,,,
Thomas Aquinas College,California,N/A,,,,
Touro University,California,N/A,,,,
Trident University International,California,N/A,,,,
Union Institute & University,California,N/A,,,,
University of Antelope Valley,California,N/A,,,,
University of California Berkeley ,California,https://opa.berkeley.edu/campus-data/common-data-set,,,,
University of California College of the Law San Francisco ,California,N/A,,,,
University of California Davis,California,https://aggiedata.ucdavis.edu/common-data-set,,,,
University of California Irvine,California,https://irap.uci.edu/institutional-research/data-hub/common-data-set/,,,,
University of California Los Angeles ,California,https://apb.ucla.edu/campus-statistics/common-data-set,,,,
University of California Merced,California,https://cie.ucmerced.edu/analytics-hub/external-reporting,,,,
University of California Riverside,California,https://ir.ucr.edu/cds,,,,
University of California San Diego,California,https://ir.ucsd.edu/stats/undergrad/common-data-set.html,,,,
University of California San Francisco,California,N/A,,,,
University of California Santa Barbara,California,https://bap.ucsb.edu/institutional-research,,,,
University of California Santa Cruz,California,https://iraps.ucsc.edu/about/common-data-set.html,,,,
University of La Verne,California,https://laverne.edu/institutional-research/reports-publications/common-data-set/,,,,
University of Massachusetts Global,California,N/A,,,,
University of Redlands,California,N/A,,,,
University of San Diego,California,https://www.sandiego.edu/facts/cds/,,,,
University of San Francisco ,California,https://myusf.usfca.edu/cipe/cds,,,,
University of Silicon Valley,California,N/A,,,,
University of Southern California,California,https://oir.usc.edu/statistics-data-visualization/common-data-set/,,,,
University of the Pacific,California,https://www.pacific.edu/about-pacific/administrative-offices/institutional-research/common-data-set,,,,
University of the People,California,N/A,,,,
University of the West,California,N/A,,,,
University of West Los Angeles,California,N/A,,,,
Vanguard University,California,https://www.vanguard.edu/about/disclosures-and-consumer-information,https://www.vanguard.edu/uploaded/Provost/CDS_2019-2020_(Final).pdf,https://www.vanguard.edu/uploaded/Provost/CDS_2018-2019_(VUSC)_final.pdf,,
Ventura College,California,N/A,,,,
Victor Valley College,California,https://www.vvc.edu/reports-available,,,,
West Hills College Coalinga,California,N/A,,,,
West Hills College Lemoore ,California,N/A,,,,
West Los Angeles College,California,N/A,,,,
West Valley College,California,N/A,,,,
Westcliff University,California,N/A,,,,
Western Seminary Sacramento ,California,N/A,,,,
Western Seminary San Jose,California,N/A,,,,
Western State College of Law,California,N/A,,,,
Western University of Health Sciences,California,N/A,,,,
Westmont College,California,https://www.westmont.edu/institutional-portfolio/institutional-data,,,,
Whittier College,California,https://www.whittier.edu/academics/ira/cds,,,,
Woodbury University,California,https://woodbury.edu/wp-content/uploads/2018/02/CDS2013_2014.pdf,,,,
Woodland Community College,California,N/A,,,,
Yuba College,California,N/A,,,,
Zaytuna College,California,N/A,,,,
Adams State University,Colorado,https://www.adams.edu/administration/institutional-effectiveness/common-data-set/,,,,
Aims Community College,Colorado,https://www.aims.edu/departments/institutional-research/institution-and-student-data-reports,,,,
Arapahoe Community College,Colorado,https://www.arapahoe.edu/about-acc/institutional-research,,,,
Aspen University,Colorado,N/A,,,,
Colorado Christian University,Colorado,N/A,,,,
Colorado Christian University,Colorado,N/A,,,,
Colorado College,Colorado,https://www.coloradocollege.edu/offices/ipe/common-data-set.html,,,,
Colorado Mesa University,Colorado,https://www.coloradomesa.edu/institutional-research/reports.html,,,,
Colorado Mountain College,Colorado,https://coloradomtn.edu/contact-departments/institutional-research/common-data-set/,,,,
Colorado Northwestern Community College,Colorado,https://cncc.edu/about/institutional-effectiveness/common-data-set,,,,
Colorado School of Mines,Colorado,https://ir.mines.edu/common-data-set/,,,,
Colorado State University,Colorado,https://www.ir.colostate.edu/common-data-set/,,,,
Colorado State University Global,Colorado,N/A,,,,
Colorado State University Pueblo,Colorado,https://www.csupueblo.edu/institutional-research/common-data-set.html,,,,
Colorado Technical University,Colorado,N/A,,,,
Community College of Aurora,Colorado,N/A,,,,
Community College of Denver,Colorado,https://www.ccd.edu/docs/common-data-set,,,,
Denver College of Nursing,Colorado,N/A,,,,
DeVry University,Colorado,N/A,,,,
Fort Lewis College,Colorado,https://www.fortlewis.edu/about-flc/leadership/institutional-effectiveness/institutional-research/common-data-sets,,,,
Front Range Community College,Colorado,https://www.frontrange.edu/about/facts-figures/common-data-set.html,,,,
IBMC College Greeley,Colorado,N/A,,,,
Lamar Community College,Colorado,"https://lamarcc.edu/about-lcc/facts-figures/#:~:text=Common%20Data%20Set&text=This%20report%20includes%20data%20on,and%20degrees%20conferred%20by%20discipline.",,,,
Lincoln College of Technology in Denver,Colorado,N/A,,,,
Metropolitan State University of Denver,Colorado,https://www.msudenver.edu/institutional-research/,,,,
Morgan Community College,Colorado,N/A,,,,
Naropa University,Colorado,https://www.naropa.edu/about-naropa/history-of-naropa/institutional-data/,,,,
Nazarene Bible College ,Colorado,N/A,,,,
Northeastern Junior College,Colorado,"https://www.njc.edu/institutional-research/northeastern-reports/common-data-set#:~:text=The%20Common%20Data%20Set%20is,to%20aid%20students%20entering%20college.",,,,
Otero College,Colorado,N/A,,,,
Pikes Peak State College,Colorado,N/A,,,,
Platt College,Colorado,N/A,,,,
Pueblo Community College,Colorado,https://pueblocc.edu/IR,,,,
Red Rocks Community College,Colorado,https://www.rrcc.edu/institutional-research/common-data,,,,
Regis University,Colorado,https://www.regis.edu/about/university-facts-figures/data-reporting,,,,
Rocky Mountain College of Art + Design,Colorado,N/A,,,,
Rocky Mountain College of Art and Design,Colorado,N/A,,,,
Trinidad State College,Colorado,N/A,,,,
United States Air Force Academy,Colorado,https://www.usafa.edu/app/uploads/Common-Data-Elements_-CDS_2022-2023-Updated-Final.pdf,,,,
University of Colorado Boulder,Colorado,https://www.colorado.edu/oda/department-institution-data/common-data-set-cds,,,,
University of Colorado Colorado Springs,Colorado,https://ir.uccs.edu/institutionaldata,,,,
University of Colorado Denver,Colorado,https://www.ucdenver.edu/offices/institutional-research-and-effectiveness/data-analysis/institutional-data#ac-common-data-set-0,,,,
University of Denver,Colorado,https://www.du.edu/ir/reporting/cds,,,,
University of Northern Colorado,Colorado,https://www.unco.edu/institutional-reporting-analysis-services/common-data-sets.aspx,,,,
Western Colorado Community College,Colorado,N/A,,,,
Western Colorado University,Colorado,https://western.edu/search/#gsc.tab=0&gsc.q=common%20data%20set,,,,
William Howard Taft University,Colorado,N/A,,,,
Albertus Magnus College,Connecticut,https://www.albertus.edu/policy-reports/institutional-research-and-assessment/common-data-set,,,,
Central Connecticut State University,Connecticut,https://www.ccsu.edu/oira/common-data-set,,,,
Charter Oak State College,Connecticut,N/A,,,,
Connecticut College,Connecticut,https://www.conncoll.edu/institutional-research/conn-facts/,,,,
CT State Community College,Connecticut,N/A,,,,
Eastern Connecticut State University,Connecticut,https://www.easternct.edu/planning-and-institutional-research/institutional-data/common-data-set.html,,,,
Fairfield University,Connecticut,https://www.fairfield.edu/about/leadership-offices/departments/institutional-research/index.html,,,,
Goodwin University,Connecticut,N/A,,,,
Hartford International University for Religion and Peace,Connecticut,N/A,,,,
